Kod;Jednostka terytorialna;ogó³em;mê¿czyŸni;kobiety
3208062;Siemyœl * (2);3671;1854;1817
3208072;Ustronie Morskie * (2);3639;1749;1890
3209012;Bêdzino * (2);8477;4234;4243
3209022;Biesiekierz * (2);6040;3015;3025
3209033;Bobolice * (3);9801;4984;4817
3209042;Manowo * (2);6762;3373;3389
3209052;Mielno * (2);5104;2489;2615
3209063;Polanów * (3);9190;4637;4553
3209073;Sianów * (3);13656;6752;6904
3209082;Œwieszyno * (2);6410;3170;3240
3210013;Barlinek * (3);19833;9798;10035
3210022;Boleszkowice * (2);2921;1484;1437
3210033;Dêbno * (3);21087;10383;10704
3210043;Myœlibórz * (3);20848;10254;10594
3210052;Nowogródek Pomorski * (2);3411;1738;1673
3211012;Dobra (Szczeciñska) * (2);16778;8242;8536
3211022;Ko³baskowo * (2);10809;5283;5526
3211033;Nowe Warpno * (3);1703;842;861
3211043;Police * (3);42057;20796;21261
3212012;Bielice * (2);3143;1586;1557
3212022;Kozielice * (2);2622;1352;1270
3212033;Lipiany * (3);6187;3098;3089
3212042;Przelewice * (2);5410;2756;2654
3212053;Pyrzyce * (3);19888;9852;10036
3212062;Warnice * (2);3597;1818;1779
3213011;Dar³owo * (1);14442;7013;7429
3213021;S³awno * (1);13163;6261;6902
3213032;Dar³owo * (2);7928;4014;3914
3213042;Malechowo * (2);6622;3321;3301
3213052;Postomino * (2);7068;3509;3559
3213062;S³awno * (2);8904;4521;4383
3214011;Stargard Szczeciñski * (1);69966;33706;36260
3214023;Chociwel * (3);6105;3060;3045
3214033;Dobrzany * (3);5122;2596;2526
3214042;Dolice * (2);8161;4124;4037
3214053;Iñsko * (3);3596;1811;1785
3214062;Kobylanka * (2);4475;2221;2254
3214082;Marianowo * (2);3222;1581;1641
3214092;Stara D¹browa * (2);3662;1863;1799
3214102;Stargard Szczeciñski * (2);12231;6174;6057
3214113;Suchañ * (3);4360;2173;2187
3215011;Szczecinek * (1);40787;19420;21367
3215023;Barwice * (3);8994;4473;4521
3215033;Bia³y Bór * (3);5424;2737;2687
3215043;Borne Sulinowo * (3);9754;4822;4932
3215052;Grzmi¹ca * (2);5094;2582;2512
3215062;Szczecinek * (2);9511;4788;4723
3216011;Œwidwin * (1);15931;7712;8219
3216022;Brze¿no * (2);2910;1469;1441
3216033;Po³czyn-Zdrój * (3);16166;7903;8263
3216042;R¹bino * (2);3892;2038;1854
3216052;S³awoborze * (2);4278;2145;2133
3216062;Œwidwin * (2);6166;3140;3026
3217011;Wa³cz * (1);26435;12621;13814
3217023;Cz³opa * (3);5134;2545;2589
3217033;Miros³awiec * (3);5691;2819;2872
3217043;Tuczno * (3);5107;2554;2553
3217052;Wa³cz * (2);12715;6349;6366
3218013;Dobra * (3);4537;2259;2278
3218023;£obez * (3);14518;7092;7426
3218032;Radowo Ma³e * (2);3741;1866;1875
3218043;Resko * (3);8375;4167;4208
3218053;Wêgorzyno * (3);7312;3706;3606
3261011;Koszalin * (1);109248;51639;57609
3262011;Szczecin * (1);410131;195303;214828
3263011;Œwinoujœcie * (1);41480;20069;21411
